year,geo_name,geo,income
2013,"Alachua County, FL",05000US12001,42149
2013,Baker County,05000US12003,49236
2013,"Bay County, FL",05000US12005,47461
2013,Bradford County,05000US12007,40259
2013,"Brevard County, FL",05000US12009,48039
2013,"Broward County, FL",05000US12011,51251
2013,Calhoun County,05000US12013,32780
2013,"Charlotte County, FL",05000US12015,44378
2013,"Citrus County, FL",05000US12017,39100
2013,"Clay County, FL",05000US12019,59482
2013,"Collier County, FL",05000US12021,55843
2013,Columbia County,05000US12023,38070
2013,DeSoto County,05000US12027,34963
2013,Dixie County,05000US12029,33981
2013,"Duval County, FL",05000US12031,48323
2013,"Escambia County, FL",05000US12033,43918
2013,Flagler County,05000US12035,47233
2013,Franklin County,05000US12037,38328
2013,Gadsden County,05000US12039,35380
2013,Gilchrist County,05000US12041,38406
2013,Glades County,05000US12043,34694
2013,Gulf County,05000US12045,40455
2013,Hamilton County,05000US12047,37716
2013,Hardee County,05000US12049,37125
2013,Hendry County,05000US12051,35425
2013,"Hernando County, FL",05000US12053,41024
2013,"Highlands County, FL",05000US12055,35560
2013,"Hillsborough County, FL",05000US12057,49596
2013,Holmes County,05000US12059,35511
2013,"Indian River County, FL",05000US12061,44772
2013,Jackson County,05000US12063,36809
2013,Jefferson County,05000US12065,44170
2013,Lafayette County,05000US12067,39722
2013,"Lake County, FL",05000US12069,45035
2013,"Lee County, FL",05000US12071,47439
2013,"Leon County, FL",05000US12073,46369
2013,Levy County,05000US12075,34348
2013,Liberty County,05000US12077,39681
2013,Madison County,05000US12079,33833
2013,"Manatee County, FL",05000US12081,47876
2013,"Marion County, FL",05000US12083,39453
2013,"Martin County, FL",05000US12085,49846
2013,"Miami-Dade County, FL",05000US12086,43100
2013,Monroe County,05000US12087,53607
2013,Nassau County,05000US12089,55315
2013,"Okaloosa County, FL",05000US12091,54684
2013,Okeechobee County,05000US12093,34570
2013,"Orange County, FL",05000US12095,47581
2013,"Osceola County, FL",05000US12097,43891
2013,"Palm Beach County, FL",05000US12099,52432
2013,"Pasco County, FL",05000US12101,43888
2013,"Pinellas County, FL",05000US12103,45535
2013,"Polk County, FL",05000US12105,43113
2013,Putnam County,05000US12107,32497
2013,"St. Johns County, FL",05000US12109,64876
2013,"St. Lucie County, FL",05000US12111,43413
2013,"Santa Rosa County, FL",05000US12113,57703
2013,"Sarasota County, FL",05000US12115,49052
2013,"Seminole County, FL",05000US12117,58175
2013,"Sumter County, FL",05000US12119,48493
2013,Suwannee County,05000US12121,35698
2013,Taylor County,05000US12123,36356
2013,Union County,05000US12125,42660
2013,"Volusia County, FL",05000US12127,42457
2013,Wakulla County,05000US12129,52691
2013,Walton County,05000US12131,43640
2013,Washington County,05000US12133,38501
2014,"Alachua County, FL",05000US12001,42045
2014,Baker County,05000US12003,46865
2014,"Bay County, FL",05000US12005,47274
2014,Bradford County,05000US12007,40481
2014,"Brevard County, FL",05000US12009,48483
2014,"Broward County, FL",05000US12011,51574
2014,Calhoun County,05000US12013,34053
2014,"Charlotte County, FL",05000US12015,44265
2014,"Citrus County, FL",05000US12017,38109
2014,"Clay County, FL",05000US12019,59103
2014,"Collier County, FL",05000US12021,56250
2014,Columbia County,05000US12023,39194
2014,DeSoto County,05000US12027,36114
2014,Dixie County,05000US12029,35000
