County,2009Dropout,2009  - High school graduate (includes equivalency),2009 - Some college or associate's degree,2009 - Bachelor's degree or higher,2010Dropout,2010  - High school graduate (includes equivalency),2010 - Some college or associate's degree,2010 - Bachelor's degree or higher,2011Dropout,2011  - High school graduate (includes equivalency),2011 - Some college or associate's degree,2011 - Bachelor's degree or higher,2012Dropout,2012  - High school graduate (includes equivalency),2012 - Some college or associate's degree,2012 - Bachelor's degree or higher,2013Dropout,2013  - High school graduate (includes equivalency),2013 - Some college or associate's degree,2013 - Bachelor's degree or higher,2014Dropout,2014  - High school graduate (includes equivalency),2014 - Some college or associate's degree,2014 - Bachelor's degree or higher,2015Dropout,2015  - High school graduate (includes equivalency),2015 - Some college or associate's degree,2015 - Bachelor's degree or higher,2016Dropout,2016  - High school graduate (includes equivalency),2016 - Some college or associate's degree,2016 - Bachelor's degree or higher,2017Dropout,2017  - High school graduate (includes equivalency),2017 - Some college or associate's degree,2017 - Bachelor's degree or higher
Alachua,35.6,13.2,10.6,6,36,15.9,12.1,7.4,32.6,17.3,11.9,6.8,33.1,17.6,12.4,7.2,36.4,20.2,14,7.8,37.4,20.4,15.4,7.4,36,20.2,15.4,7.3,37.5,20,15.1,8.4,37.3,19.8,15,8.4
Baker,29.5,17.5,7.7,2.4,30.3,15.5,7.1,1.8,24.8,15.2,8.2,0.2,34.3,13.4,7.9,0,38.2,13.9,6.3,0,38.9,15,7.2,1,39.7,15.8,6.2,1.6,38.5,14.3,7.3,1.7,37.1,15,8.5,2.7
Bradford,20.9,12.9,11.6,9.5,22.6,13.7,8.4,4.2,27.4,15,10,9.6,27.4,15.3,15.9,6.4,28.7,16.9,11.3,6.7,31,17.3,13.2,9.8,29.9,20.5,15.3,5.9,30.6,18,12.1,7.5,29.8,18,10,8.5
Clay,16.3,8.1,4.9,2.3,17.8,8,5,2.5,18.6,10.7,5.2,2.6,20.7,11.1,6.3,2.7,22,11.7,6.3,2.8,24,12.5,6.9,2.8,24.3,12.3,7.9,2.7,24.5,11.4,7.7,2.8,23.7,11.4,8.1,2.8
Columbia,27,13.5,11.4,4.6,27.3,12.1,9.6,5,26.6,12.6,10.7,5.2,28.5,14.8,13.8,7.2,28.6,13.9,13.4,6.5,33.3,14.9,13.4,7.8,32.9,14.7,14.6,7.5,34.2,16.7,13.2,7,32.5,14.8,11.4,5.2
Dixie,25.4,18.9,4.9,6.1,22.2,18.3,4.8,11.3,22.7,16.5,6.5,15.1,20.8,17.5,6.1,9.4,24.6,20.8,6.9,10.5,27,20.6,9.2,6.9,33,19,12.1,4.3,33.4,16.8,12.7,6.3,39.3,16.8,15,4.1
Duval,24,12.3,7.9,3.5,25.6,13,8.4,4.2,26.2,13.8,9,4.1,27.6,14.7,10.2,4.7,29.3,16.2,11,5,31.7,17.6,11.1,4.7,30.8,17.5,11.5,4.6,30,16.5,11.5,5.2,29.9,16.4,10.9,4.9
Flagler,12.7,10.6,7,4.3,13.3,11.1,9.1,4.1,14.8,12.4,8.9,4.9,16.9,13.1,10,4.9,20.6,14.7,11.1,6.9,21.6,16.2,11.3,6.6,18.8,16.2,8.5,7,19.5,15,9.7,6.5,17.1,16.1,8.6,6.1
Gilchrist,21.4,14.1,5.4,4.6,26,21.2,6.9,11.8,22.2,20.7,7.1,10.2,31.8,24.2,10.5,11.6,36,24.7,9.6,8.8,39.3,23.3,10.4,9.4,37.2,19.1,11.6,6,38.8,16.4,15.2,5.2,32.4,12.7,12.1,4.7
Hamilton,28.5,14.1,14,4.4,32.9,18.8,10.5,3.6,39.7,19.4,11,2.6,36.5,19,10,0.3,32.6,18.1,10.6,3.4,37.3,24.2,15,3.2,39.2,16.2,16.5,3.2,38.4,18.4,16,3.4,43,18.7,15.4,4.2
Lafayette,39.6,10.7,25.3,9.8,31,8.7,11.4,8.3,23.7,8,11,3.9,22.7,18.2,11.7,3.3,28.6,19.5,6.4,7.1,36.3,18.3,13.7,8.3,35.8,17.7,13.3,5.4,28.4,19.9,10.9,4.2,42.6,12.9,10.2,4.6
Levy,26.6,17.8,11.4,3,29.6,18.8,13.5,3.9,31.4,19.8,15,4.2,27.2,20.2,17.1,4.9,27.8,20.6,18.3,5.9,29.2,20.3,17.9,6.6,30,17.4,16,6.9,29.1,18.1,15.3,5.7,30.1,19.6,15.3,6.9
Madison,30.2,14.3,8.2,4.9,27.2,9.8,13.1,2.9,25.3,11.8,14,2.7,27,13.8,14.8,2.1,27.7,16.5,15,2.4,30.6,20.9,15.3,2.9,45.8,25.3,13.4,4,48,28.6,15.3,5,52.1,27.9,15.5,5.9
Nassau,13.4,7.9,4.2,3.1,13.9,7.4,6.4,3.4,15.3,8.7,7,3.6,20.2,10.8,7.1,4.5,22.9,12.4,7.4,5,24.1,12.2,8.1,4.7,27.7,12.9,7.8,4.4,33.1,12.5,7.5,4.9,29.7,11.1,7.4,4.7
Putnam,31.4,18.4,14.1,7.9,30.4,19.2,14.5,9.4,29.4,19.4,14.6,7.1,29.9,19.2,15.5,5.6,31.8,20.6,16,5.4,30.6,21.7,18.4,5.1,31.1,22.6,20.1,5.5,32.6,21.3,18.8,7,31.2,22.1,20.3,7
